Date,ZTS
2016-07-05,39.81093215942383
2016-07-06,39.11465835571289
2016-07-07,39.10646438598633
2016-07-08,41.12158203125
2016-07-11,41.87519836425781
2016-07-12,41.42465972900391
2016-07-13,41.46562957763672
2016-07-14,42.24382019042969
2016-07-15,41.96530151367188
2016-07-18,42.014461517333984
2016-07-19,42.22743606567383
2016-07-20,41.23626708984375
2016-07-21,41.15435028076172
2016-07-22,40.46625900268555
2016-07-25,40.12221145629883
2016-07-26,40.36795425415039
2016-07-27,40.073055267333984
2016-07-28,39.85188293457031
2016-07-29,39.491458892822266
2016-08-01,39.155609130859375
2016-08-02,38.90986633300781
2016-08-03,40.36795425415039
2016-08-04,40.98232650756836
2016-08-05,41.432861328125
2016-08-08,40.99871444702149
2016-08-09,41.33455657958984
2016-08-10,41.32637786865234
2016-08-11,43.04659271240234
2016-08-12,43.17766952514648
2016-08-15,43.95586013793945
2016-08-16,43.8657455444336
2016-08-17,43.751068115234375
2016-08-18,43.54627990722656
2016-08-19,42.53052520751953
2016-08-22,41.98988342285156
2016-08-23,42.51414108276367
2016-08-24,42.136817932128906
2016-08-25,42.34188461303711
2016-08-26,42.54695129394531
2016-08-29,42.98989486694336
2016-08-30,43.15394592285156
2016-08-31,43.20317077636719
2016-09-01,43.17036819458008
2016-09-02,43.785552978515625
2016-09-06,43.252384185791016
2016-09-07,43.42462158203125
2016-09-08,42.924278259277344
2016-09-09,41.46420669555664
2016-09-12,42.00558090209961
2016-09-13,41.04587936401367
2016-09-14,41.02946853637695
2016-09-15,41.41498947143555
2016-09-16,41.22633361816406
2016-09-19,41.65287780761719
2016-09-20,41.21813583374024
2016-09-21,41.81691360473633
2016-09-22,42.35829544067383
2016-09-23,41.734901428222656
2016-09-26,42.0137825012207
2016-09-27,42.33368682861328
2016-09-28,42.42391204833984
2016-09-29,41.587249755859375
2016-09-30,41.75130462646485
2016-10-03,42.15323638916016
2016-10-04,41.677490234375
2016-10-05,41.78411865234375
2016-10-06,41.587249755859375
2016-10-07,40.95564270019531
2016-10-10,40.97206115722656
2016-10-11,40.373268127441406
2016-10-12,40.18460464477539
2016-10-13,40.045166015625
2016-10-14,40.570125579833984
2016-10-17,40.24203109741211
2016-10-18,40.26661682128906
2016-10-19,40.51270294189453
2016-10-20,39.94672775268555
2016-10-21,39.92211151123047
2016-10-24,39.823692321777344
2016-10-25,39.30692672729492
2016-10-26,39.18389129638672
2016-10-27,38.95420455932617
2016-10-28,41.185325622558594
2016-10-31,41.87433624267578
2016-11-01,41.41498947143555
2016-11-02,41.27555465698242
2016-11-03,41.81691360473633
2016-11-04,41.92356491088867
2016-11-07,42.48133850097656
2016-11-08,43.18675994873047
2016-11-09,43.851165771484375
2016-11-10,44.45816040039063
2016-11-11,43.80196380615234
2016-11-14,44.14646530151367
2016-11-15,44.39254379272461
2016-11-16,44.65502548217773
2016-11-17,44.70424270629883
2016-11-18,44.81087493896485
2016-11-21,44.97492980957031
2016-11-22,45.47592926025391
2016-11-23,45.89844131469727
2016-11-25,46.03826522827149
2016-11-28,45.72570037841797
2016-11-29,45.47071075439453
2016-11-30,45.23216247558594
2016-12-01,44.57412338256836
2016-12-02,44.81267166137695
2016-12-05,44.34381484985352
2016-12-06,44.41784286499024
2016-12-07,44.6152572631836
2016-12-08,44.15462112426758
2016-12-09,44.41784286499024
2016-12-12,44.40962219238281
2016-12-13,44.29446029663086
2016-12-14,44.62347412109375
2016-12-15,45.0841064453125
2016-12-16,45.100563049316406
2016-12-19,45.20749282836914
2016-12-20,45.28151321411133
2016-12-21,44.51654052734375
2016-12-22,44.49186706542969
2016-12-23,44.837345123291016
2016-12-27,44.79622268676758
2016-12-28,44.212196350097656
2016-12-29,44.426063537597656
2016-12-30,44.11349487304688
2017-01-03,44.19574737548828
2017-01-04,44.62347412109375
2017-01-05,44.36848831176758
2017-01-06,44.31090927124024
2017-01-09,44.19574737548828
2017-01-10,44.25333404541016
2017-01-11,44.1381721496582
2017-01-12,44.14639663696289
2017-01-13,45.0429801940918
2017-01-17,44.52477264404297
2017-01-18,44.53299331665039
2017-01-19,44.63993453979492
2017-01-20,44.8455696105957
2017-01-23,44.5083236694336
2017-01-24,44.99362564086914
2017-01-25,45.38022613525391
2017-01-26,45.807952880859375
2017-01-27,46.005367279052734
2017-01-30,45.602317810058594
2017-01-31,45.49538803100586
2017-02-01,45.34731674194336
2017-02-02,45.413124084472656
2017-02-03,46.07939910888672
2017-02-06,45.90666198730469
2017-02-07,45.76681900024414
2017-02-08,46.21100234985352
2017-02-09,46.901947021484375
2017-02-10,47.00888442993164
2017-02-13,47.32144927978516
2017-02-14,47.12404251098633
2017-02-15,47.362579345703125
2017-02-16,47.206302642822266
2017-02-17,47.45306396484375
2017-02-21,47.81498718261719
2017-02-22,47.5102767944336
2017-02-23,47.15614700317383
2017-02-24,47.59262466430664
2017-02-27,47.47733688354492
2017-02-28,47.47733688354492
2017-03-01,48.51499938964844
2017-03-02,48.28440475463867
2017-03-03,48.36675262451172
2017-03-06,48.03733825683594
2017-03-07,47.93028259277344
2017-03-08,47.90558242797852
2017-03-09,47.782039642333984
2017-03-10,48.02087020874024
2017-03-13,48.39970779418945
2017-03-14,48.21852111816406
2017-03-15,49.16560363769531
2017-03-16,49.00912857055664
2017-03-17,49.066776275634766
2017-03-20,48.589115142822266
2017-03-21,48.185577392578125
2017-03-22,48.16911697387695
2017-03-23,48.20204925537109
2017-03-24,48.84441757202149
2017-03-27,48.655006408691406
2017-03-28,49.07500457763672
2017-03-29,49.124420166015625
